File name;Copyright;Copyright CERN;Already CERN SPDX;Copyright added;Oldest year;Copyright line read
./board/spec/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./board/vfchd/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/top_level/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/top_level/gn4124_bfm/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_endpoint/full_tb/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/mini_bone/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wrc_core/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wrc_core/riviera/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wrc_core/modelsim/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/xwrf_mux/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_fabric_reg/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/nic_bw_throttling/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_minic_with_ep/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/xwrf_loopback/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_minic/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-only_multiword-transfer/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-only-fixed-latency/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers_multi_test/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-only_basic-transfer/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-on-spec_trigger-distribution/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-on-spec_trigger-distribution/riviera/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_streamers/streamers-on-spec_trigger-distribution/modelsim/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_ep_prbs_checker/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_endpoint/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_sit5359_interface/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_nic/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_pps_gen/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_dacs/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wrc_core/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_mini_nic/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_tbi_phy/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/fabric/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_timecodes/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_si57x_interface/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_auxclk_gen/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/timing/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_irig/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_nmea/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_txtsu/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_tlu/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_softpll_ng/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_flash/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_eca/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./modules/wr_streamers/Manifest.py;YES;YES;YES;NO;2025;## SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/if_wishbone_defs.svh;YES;YES;YES;NO;2001;// SPDX-FileCopyrightText: 2001 CERN (home.cern)
./sim/if_wb_classic_master.svh;YES;YES;YES;NO;2010;// SPDX-FileCopyrightText: 2010 CERN (home.cern)
./sim/simdrv_wr_nic.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/if_wb_slave.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/simdrv_defs.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/wr_streamers_wb.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/pfilter.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/if_wb_link.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/wb_packet_source.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/wb_packet_sink.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/if_wishbone_accessor.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/8b10b_encoder.svh;YES;NO;NO;NO;2002;// Chuck Benz, Hollis, NH   Copyright (c)2002
./sim/if_wishbone_types.svh;YES;YES;YES;NO;2001;// SPDX-FileCopyrightText: 2001 CERN (home.cern)
./sim/wr_1000basex_phy_model.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/simdrv_txtsu.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/wb_fabric_defs.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/if_wb_master.svh;YES;YES;YES;NO;2010;// SPDX-FileCopyrightText: 2010 CERN (home.cern)
./sim/eth_packet.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/drivers/simdrv_wr_endpoint.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./sim/drivers/simdrv_minic.svh;YES;YES;YES;NO;2000;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/top_level/gn4124_bfm/gn4124_bfm.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_endpoint/full_tb/pfilter.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_endpoint/full_tb/pcs_adapter.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_endpoint/full_tb/endpoint_phy_wrapper.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_endpoint/full_tb/old_endpoint_wrapper.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wrc_core/functions.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/wr_minic_with_ep/ep2ep_wrapper.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
./testbench/xwrf_loopback/functions.svh;YES;YES;YES;NO;2025;// SPDX-FileCopyrightText: 2025 CERN (home.cern)
